Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Aron,79.4,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Camerupt,79.4,323,fire,ground,133.6,100.5,125,1678150,25.5,1499,Incinerate,Rock Tomb,Scorching Sands,3,3,3,50000
Charizard,79.4,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Leavanny,79.4,542,bug,grass,129.5,110.3,121,1727030,21.5,1497,Shadow Claw*,Leaf Blade,X-Scissor,5,5,1,10000
Machoke,79.4,67,fighting,none,126.8,97.4,143,1765627,27.5,1499,Karate Chop,Cross Chop*,Return<sup>†</sup>,4,8,3,50000
Sirfetch'd,79.4,865,fighting,none,144.8,108,99,1548382,18.5,1500,Fury Cutter,Leaf Blade,Close Combat,9,12,3,50000
Wailord (Shadow),79.4,321,water,none,118.4,67.4,237,1891875,24.5,1497,Rollout,Surf,Hyper Beam,4,7,1,10000
Crawdaunt (Shadow),79.3,342,water,dark,144.7,98.4,109,1551934,22,1498,Waterfall,Night Slash,Scald,4,5,3,50000
Dhelmise,79.3,781,ghost,grass,139.8,109.3,105,1604674,20,1498,Shadow Claw,Power Whip,Brutal Swing,7,5,5,50000
Donphan,79.3,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Ferrothorn (Shadow),79.3,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Tyranitar (Shadow),79.3,248,rock,dark,129.7,111.4,120,1734171,14.5,1500,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Maushold,79.2,925,normal,none,116.2,122,136,1928003,28.5,1498,Mud Shot,Swift,Crunch,4,5,1,10000
Sandslash (Shadow),79.2,28,ground,none,120.5,123,125,1852528,23.5,1497,Sand Attack,Night Slash*,Rock Tomb,9,13,3,50000
Servine,79.2,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Timburr,79.2,532,fighting,none,125.2,85.7,164,1759945,50,1487,Low Kick,Brick Break,Rock Tomb,5,7,5,75000
Vikavolt,79.2,738,bug,electric,144.2,96.7,111,1547210,17.5,1494,Volt Switch*,X-Scissor,Fly,3,3,1,10000
Excadrill,79.1,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Lileep (Shadow),79.1,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Salamence,79.1,373,dragon,flying,143.5,93.1,117,1562473,14.5,1497,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Giratina (Origin),79,487,ghost,dragon,120,101.4,154,1874595,15,1500,Dragon Tail,Ominous Wind,Shadow Ball,4,5,20,100000
Skuntank (Shadow),79,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Blacephalon,78.9,806,fire,ghost,173.6,88.4,84,1290131,16.5,1497,Incinerate,Mind Blown*,Shadow Ball,2,3,20,100000
Gengar (Shadow),78.9,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Pumpkaboo (Large),78.9,710,ghost,grass,113.4,115.1,133,1736900,50,1406,Astonish,Grass Knot,Foul Play,5,4,5,75000
Vigoroth,78.9,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Galvantula,78.8,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Volt Switch,Discharge,Lunge,3,3,3,50000
Garchomp (Shadow),78.8,445,dragon,ground,132.5,101.5,126,1693583,14,1500,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Magneton (Shadow),78.8,82,electric,steel,143.5,114.7,95,1562951,22,1499,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Shiftry (Shadow),78.8,275,grass,dark,133.4,88.1,143,1680081,23.5,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Thundurus (Incarnate),78.8,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Avalugg (Hisuian),78.7,713,ice,rock,116.5,135.2,122,1921301,16,1498,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Beedrill,78.7,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run*,5,5,1,10000
Magnemite,78.7,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Discharge,Magnet Bomb,3,3,3,50000
Roserade,78.7,407,grass,poison,141.9,114.3,97,1574006,18.5,1499,Poison Sting,Weather Ball (Fire)*,Leaf Storm,4,7,3,50000
Xatu (Shadow),78.7,178,psychic,flying,132.2,107.9,119,1698214,25.5,1500,Peck,Psyshock,Aerial Ace,5,6,3,50000
Camerupt (Shadow),78.6,323,fire,ground,133.6,100.5,125,1678150,25.5,1499,Incinerate,Rock Tomb,Scorching Sands,3,3,3,50000
Excadrill (Shadow),78.6,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Golett (Shadow),78.6,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Astonish,Shadow Punch,Brick Break,4,4,5,75000
Mamoswine,78.6,473,ice,ground,136.2,87.4,138,1642085,16.5,1500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Obstagoon (Shadow),78.6,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Cross Chop,Night Slash,6,6,3,10000
Suicune,78.6,245,water,none,106.3,143.1,137,2083417,18.5,1489,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Aron (Shadow),78.5,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Cofagrigus (Shadow),78.5,563,ghost,none,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Golem (Alolan) (Shadow),78.5,76,rock,electric,125.2,122.3,117,1791042,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Kecleon,78.5,352,normal,none,115.6,142.2,118,1939686,27.5,1499,Sucker Punch,Foul Play,Thunder,6,9,5,75000
Tauros (Aqua),78.5,128,fighting,water,127.8,120.7,114,1758735,20,1500,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Vigoroth (Shadow),78.5,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Vullaby,78.5,629,dark,flying,100.8,129.4,157,2048662,50,1437,Air Slash,Brave Bird,Foul Play,7,5,5,75000
Ledian,78.4,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Dynamic Punch,Aerial Ace,15,15,1,10000
Obstagoon,78.4,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Night Slash,Cross Chop,6,6,3,10000
Salazzle,78.4,758,poison,fire,147,91.2,114,1529161,22.5,1499,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Scolipede,78.4,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,Aqua Tail,Megahorn,4,7,1,10000
Slowbro (Galarian),78.4,80,poison,psychic,119.1,108.4,146,1884537,22.5,1500,Confusion,Drain Punch,Sludge Bomb,3,4,3,50000
Dipplin,78.3,1011,grass,dragon,114.6,128.9,132,1949793,23.5,1499,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Glalie (Shadow),78.3,362,ice,none,115.2,120.8,140,1948427,27,1499,Rollout,Avalanche,Shadow Ball,4,4,3,50000
Timburr (Shadow),78.3,532,fighting,none,125.2,85.7,164,1759945,50,1487,Low Kick,Brick Break,Rock Tomb,5,7,5,75000
Bibarel,78.2,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Frillish,78.2,592,water,ghost,109.2,125.2,135,1846427,50,1421,Hex,Night Shade,Ice Beam,4,5,3,50000
Litleo,78.2,667,fire,normal,121.6,105.8,144,1851844,48.5,1500,Incinerate,Flame Charge,Crunch,3,3,3,10000
Lopunny,78.2,428,normal,none,112.1,143.6,124,1996020,27.5,1499,Low Kick,Triple Axel,Focus Blast,6,10,3,50000
Machop,78.2,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Typhlosion (Hisuian),78.2,157,fire,ghost,139.6,106.9,108,1611490,18.5,1500,Ember,Shadow Ball,Wild Charge,6,5,3,10000
Bibarel (Shadow),78.1,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Braixen (Shadow),78.1,654,fire,none,130.6,107,123,1718256,31,1499,Ember,Psyshock,Flame Charge,5,6,3,10000
Grimer (Alolan),78.1,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Articuno (Shadow),78,144,ice,flying,115.1,136.9,123,1938647,17.5,1496,Powder Snow,Triple Axel,Hurricane*,6,9,20,100000
Druddigon,78,621,dragon,none,131.2,111.3,117,1708917,20.5,1499,Dragon Tail,Night Slash,Rock Tomb,3,5,5,75000
Muk,78,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Toxtricity,78,849,electric,poison,141.2,95.4,118,1589592,21.5,1500,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Alomomola,77.9,594,water,none,97.4,99.5,238,2305528,26,1499,Waterfall,Hydro Pump,Blizzard,8,8,5,75000
Corvisquire,77.9,822,flying,none,118.1,104.7,153,1892802,49.5,1496,Peck,Sky Attack,Payback,7,8,1,10000
Beedrill (Shadow),77.8,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run*,5,5,1,10000
Crawdaunt,77.8,342,water,dark,144.7,98.4,109,1551934,22,1498,Waterfall,Night Slash,Scald,4,5,3,50000
Galvantula (Shadow),77.8,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Volt Switch,Discharge,Lunge,3,3,3,50000
Meganium (Shadow),77.8,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Graveler (Alolan),77.7,75,rock,electric,121.5,131,116,1845378,30,1499,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Gabite (Shadow),77.6,444,dragon,ground,128.8,102.4,132,1741329,30,1499,Mud Shot,Twister,Dig,5,6,5,75000
Grimer,77.6,88,poison,none,121,88.2,172,1836323,50,1491,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Vibrava (Shadow),77.6,329,ground,dragon,125.2,95.8,127,1523223,50,1384,Dragon Breath,Sand Tomb,Bug Buzz,10,15,5,75000
Poliwrath (Shadow),77.5,62,water,fighting,115.8,122,137,1936317,21.5,1500,Counter*,Scald,Icy Wind,9,8,3,50000
Bewear (Shadow),77.4,760,normal,fighting,129.6,87.2,153,1729276,17.5,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Crocalor,77.4,910,fire,none,119.4,105.8,148,1869076,29,1494,Incinerate,Crunch,Flamethrower,3,3,3,10000
Flapple,77.4,841,grass,dragon,138.1,100.1,117,1618070,22.5,1500,Dragon Breath,Seed Bomb,Dragon Pulse,10,14,5,75000
Passimian,77.4,766,fighting,none,128.7,99.2,136,1735373,18,1494,Counter,Brutal Swing,Superpower,6,7,3,75000
Weezing,77.4,110,poison,none,117.6,140.3,116,1912745,25,1500,Rollout,Sludge Bomb,Shadow Ball,4,4,3,50000
Ariados,77.3,168,bug,poison,124.2,103.9,140,1806211,33.5,1497,Poison Sting,Lunge,Trailblaze,5,5,1,10000
Larvesta,77.3,636,bug,fire,130.8,99.8,131,1710210,45.5,1499,Ember,Flame Wheel,Bug Buzz,5,7,5,75000
Orbeetle,77.3,826,bug,psychic,107.9,168.6,114,2075077,25.5,1496,Confusion,Psyshock,Bug Buzz,3,5,1,10000
Starmie (Shadow),77.3,121,water,psychic,133.2,122,104,1689998,21.5,1500,Psywave,Surf,Power Gem,12,13,3,50000
Armaldo (Shadow),77.2,348,rock,bug,133.9,109.1,115,1680484,19.5,1500,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Floatzel,77.2,419,water,none,143.8,81.7,133,1563742,22.5,1500,Waterfall,Aqua Jet,Swift,4,4,3,50000
Gabite,77.2,444,dragon,ground,128.8,102.4,132,1741329,30,1499,Mud Shot,Twister,Dig,5,6,5,75000
Muk (Alolan),77.2,89,poison,dark,115.9,111.7,148,1916176,20,1491,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Scyther (Shadow),77.2,123,bug,flying,134.9,109.5,113,1668474,20.5,1500,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Zoroark (Hisuian),77.2,571,normal,ghost,163.4,87.5,96,1373550,21,1499,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Bewear,77.1,760,normal,fighting,129.6,87.2,153,1729276,17.5,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Chesnaught (Shadow),77.1,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Vine Whip,Frenzy Plant*,Superpower,6,5,3,10000
Magmar (Shadow),77.1,126,fire,none,135.2,107.6,114,1658602,23,1497,Ember,Fire Punch,Scorching Sands,5,6,5,75000
Regirock (Shadow),77.1,377,rock,none,105.8,178.5,111,2094814,17,1493,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Scolipede (Shadow),77.1,545,bug,poison,131.8,120.4,107,1697847,22.5,1496,Poison Sting,Aqua Tail,X-Scissor,4,5,1,10000
Zygarde (50% Forme),77.1,718,dragon,ground,114.1,128.3,133,1947950,15.5,1494,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Arcanine (Shadow),77,59,fire,none,132.1,102.6,125,1693302,18,1496,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Gholdengo,77,1000,steel,ghost,134.6,107.8,114,1654913,15.5,1493,Hex,Shadow Ball,Power Gem,4,4,5,10000
Graveler (Alolan) (Shadow),77,75,rock,electric,122.6,129.9,115,1831483,29.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Haunter,77,93,ghost,poison,161.2,85.5,101,1392317,28,1498,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Kangaskhan,77,115,normal,none,114.6,110.9,153,1943857,21.5,1495,Low Kick,Brick Break*,Crunch,5,6,3,50000
Vibrava,77,329,ground,dragon,125.2,95.8,127,1523223,50,1384,Dragon Breath,Sand Tomb,Bug Buzz,10,15,5,75000
Chimecho,76.9,358,psychic,none,119.6,120.9,130,1879066,25,1500,Astonish,Psyshock,Shadow Ball,4,5,5,75000
Conkeldurr (Shadow),76.9,534,fighting,none,134,93.9,133,1673445,16.5,1500,Counter,Dynamic Punch,Brutal Swing*,8,6,5,75000
Palpitoad,76.9,536,water,ground,116.2,103,161,1926840,48,1500,Mud Shot,Earth Power,Water Pulse,7,6,3,50000
Hitmontop,76.8,237,fighting,none,121.2,149.9,102,1853307,26,1500,Counter,Close Combat,Triple Axel,8,8,5,75000
Pumpkaboo (Average),76.8,710,ghost,grass,114.3,116,126,1669772,50,1381,Astonish,Grass Knot,Foul Play,5,4,5,75000
Sandygast,76.8,769,ghost,ground,113.4,111.8,135,1711543,50,1394,Astonish,Shadow Ball,Sand Tomb,5,4,3,50000
Servine (Shadow),76.8,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Staravia,76.8,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Suicune (Shadow),76.8,245,water,none,107.1,140,136,2039331,18,1478,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Baxcalibur,76.7,998,dragon,ice,135.7,95.7,127,1649572,15.5,1500,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Cacturne,76.7,332,grass,dark,147.2,85.1,121,1515811,24,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Escavalier,76.7,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell*,15,12,3,50000
Golem (Alolan),76.7,76,rock,electric,125.2,122.3,117,1791042,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Growlithe (Shadow),76.7,58,fire,none,126.9,90.8,135,1554545,50,1405,Ember,Flame Wheel,Body Slam,5,4,3,50000
Swoobat,76.7,528,psychic,flying,126.7,101.7,138,1777300,34.5,1500,Confusion,Fly,Psychic Fangs,4,3,1,10000
Torterra (Shadow),76.7,389,grass,ground,119.9,117,133,1867141,19,1498,Mud Slap,Frenzy Plant*,Sand Tomb,5,4,3,10000
Venomoth,76.7,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Rapidash,76.6,78,fire,none,133.7,111.5,112,1669979,22.5,1499,Incinerate,Flame Charge,Wild Charge*,3,3,3,50000
Registeel (Shadow),76.6,379,steel,none,95.5,189,127,2291172,23,1481,Lock On,Focus Blast,Zap Cannon*,15,16,20,100000
Celesteela,76.5,797,steel,flying,119.6,120.7,130,1876702,18,1500,Air Slash,Body Slam,Iron Head,4,6,20,100000
Deoxys (Defense),76.5,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,6,10,20,100000
Gengar,76.5,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch*,Shadow Ball,5,7,3,50000
Golduck,76.5,55,water,none,124.2,112.2,129,1796871,22.5,1499,Confusion,Cross Chop,Liquidation,3,4,3,50000
Aipom (Shadow),76.4,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,5,3,50000
Arcanine,76.4,59,fire,none,132.1,102.6,125,1693302,18,1496,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Cacturne (Shadow),76.4,332,grass,dark,147.2,85.1,121,1515811,24,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Slowpoke,76.4,79,water,psychic,104.2,95,186,1840271,50,1386,Confusion,Psyshock,Water Pulse,3,4,3,50000
Golduck (Shadow),76.3,55,water,none,124.2,112.2,129,1796871,22.5,1499,Confusion,Cross Chop,Liquidation,3,4,3,50000
Chatot,76.2,441,normal,flying,139.6,78.4,147,1609663,32.5,1499,Peck,Heat Wave,Sky Attack,6,7,5,75000
Kricketune,76.2,402,bug,none,127.7,89.6,153,1750786,38,1497,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
Ledian (Shadow),76.2,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Dynamic Punch,Aerial Ace,15,15,1,10000
Monferno (Shadow),76.2,391,fire,fighting,129.6,96,139,1730680,42,1499,Ember,Flame Wheel,Low Sweep,5,5,3,10000
Venomoth (Shadow),76.2,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Cinderace,76.1,815,fire,none,139,99.4,117,1617082,18.5,1500,Fire Spin,Blast Burn*,Pyro Ball,5,4,3,10000
Grimer (Shadow),76.1,88,poison,none,122.8,86.9,171,1824029,49,1497,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Raticate (Alolan) (Shadow),76.1,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Kilowattrel,76,941,electric,flying,143.2,92.5,118,1563295,22.5,1499,Thunder Shock,Acrobatics,Aerial Ace,7,5,1,10000
Mienshao,76,620,fighting,none,158.9,84.8,105,1415434,20,1500,Force Palm,Brutal Swing,Grass Knot,4,5,3,50000
Rapidash (Shadow),76,78,fire,none,133.7,111.5,112,1669979,22.5,1499,Incinerate,Flame Charge,Wild Charge*,3,3,3,50000
Xatu,76,178,psychic,flying,132.2,107.9,119,1698214,25.5,1500,Peck,Psyshock,Aerial Ace,5,6,3,50000
Braixen,75.9,654,fire,none,130.6,107,123,1718256,31,1499,Ember,Psyshock,Flame Charge,5,6,3,10000
Magmar,75.9,126,fire,none,135.2,107.6,114,1658602,23,1497,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Quilladin,75.9,651,grass,none,115,130.2,130,1946835,35,1497,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Zangoose,75.9,335,normal,none,144.8,87.8,122,1550367,23,1500,Fury Cutter,Close Combat,Night Slash,12,9,3,50000
Muk (Shadow),75.8,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Parasect,75.8,47,bug,grass,124.2,118.3,123,1806701,30.5,1500,Fury Cutter,X-Scissor,Cross Poison,10,9,3,50000
Quilladin (Shadow),75.8,651,grass,none,115,130.2,130,1946835,35,1497,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Celebi,75.7,251,psychic,grass,120.5,119.4,129,1855163,16.5,1498,Confusion,Aura Sphere,Leaf Storm,3,4,20,100000
Linoone (Galarian) (Shadow),75.7,264,dark,normal,114.1,111.8,154,1965124,38.5,1497,Snarl,Body Slam,Dig,3,4,1,10000
Shiftry,75.7,275,grass,dark,133.4,88.1,143,1680081,23.5,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Skarmory,75.7,227,steel,flying,105.5,166.6,121,2126860,27,1500,Air Slash,Brave Bird,Sky Attack,7,6,5,75000
Frigibax,75.6,996,dragon,ice,125.2,84.9,149,1583298,50,1410,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Decidueye,75.5,724,grass,ghost,127.8,115.3,119,1754076,20,1500,Leafage,Frenzy Plant*,Spirit Shackle,6,5,3,10000
Escavalier (Shadow),75.5,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell*,15,12,3,50000
Fraxure,75.5,611,dragon,none,144.3,91.5,118,1557842,25,1500,Dragon Tail,Aqua Tail,Night Slash,3,3,5,75000
Golett,75.5,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Astonish,Shadow Punch,Brick Break,4,4,5,75000
Heatran (Shadow),75.5,485,fire,steel,130.7,115.5,110,1660650,14.5,1479,Fire Spin,Magma Storm*,Stone Edge,4,6,20,100000
Pinsir (Shadow),75.5,127,bug,none,139.6,112.6,102,1603789,18.5,1498,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Delphox (Shadow),75.4,655,fire,psychic,132.6,115.6,110,1686664,18,1499,Fire Spin,Psyshock,Blast Burn*,4,5,3,10000
Magmortar (Shadow),75.4,467,fire,none,140.8,104.5,108,1589375,17.5,1498,Karate Chop,Fire Punch,Thunderbolt*,5,7,5,75000
Aipom,75.3,190,normal,none,124.4,106.7,135,1791711,50,1494,Astonish,Swift,Aerial Ace,4,5,3,50000
Eelektrik,75.3,603,electric,none,122.3,110.1,136,1831304,35.5,1497,Acid,Discharge,Crunch,5,6,1,10000
Nidorina (Shadow),75.3,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Sludge Bomb,5,6,3,50000
Lampent (Shadow),75.2,608,ghost,fire,132.5,99,129,1692369,35,1500,Ember,Heat Wave,Energy Ball,5,7,5,75000
Pawmo,75.2,922,electric,fighting,136.1,81.5,142,1575592,50,1468,Thunder Shock,Wild Charge,Thunder Punch,5,5,3,75000
Weepinbell (Shadow),75.2,70,grass,poison,139.4,82.7,140,1613476,39.5,1500,Acid,Power Whip,Seed Bomb,7,5,3,50000
Wyrdeer,75.2,899,normal,psychic,126.6,95.6,146,1767417,20,1497,Confusion,Stomp,Wild Charge,3,4,5,75000
Appletun,75.1,842,grass,dragon,116.6,102.5,161,1924256,23,1499,Astonish,Seed Bomb,Outrage,4,6,5,75000
Electabuzz (Shadow),75.1,125,electric,none,132.2,112.6,114,1696362,24,1500,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Metagross,75.1,376,steel,psychic,132.8,122.1,104,1685821,14.5,1498,Shadow Claw*,Meteor Mash*,Earthquake,6,9,5,75000
Pumpkaboo (Small),75.1,710,ghost,grass,115.1,116.8,119,1600115,50,1359,Astonish,Grass Knot,Foul Play,5,4,5,75000
Delphox,75,655,fire,psychic,132.6,115.6,110,1686664,18,1499,Fire Spin,Psyshock,Blast Burn*,4,5,3,10000
Sawk (Shadow),75,539,fighting,none,140.4,97.4,117,1599454,20,1499,Low Kick,Brick Break,Body Slam,5,5,5,75000
Hitmonlee (Shadow),74.9,106,fighting,none,141.8,118.9,94,1585670,21.5,1500,Low Kick,Blaze Kick,Brick Break*,5,5,5,75000
Krookodile,74.9,553,ground,dark,133.2,98,129,1684588,18,1499,Mud Slap,Sand Tomb,Crunch,4,5,5,75000
Mudsdale,74.9,750,ground,none,123.6,107.1,136,1799895,18,1491,Mud Slap,Body Slam,Earthquake,4,7,3,50000
Regice,74.9,378,ice,none,104.5,179.9,114,2143693,17.5,1500,Lock On,Blizzard,Thunder*,15,12,20,100000
Pancham,74.8,674,fighting,none,123.3,99.3,149,1825612,47.5,1500,Low Kick,Body Slam,Crunch,5,6,3,50000
Serperior (Shadow),74.8,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant*,Leaf Tornado,6,5,3,10000
Slowpoke (Shadow),74.8,79,water,psychic,104.2,95,186,1840271,50,1386,Confusion,Psyshock,Water Pulse,3,4,3,50000
Emboar (Shadow),74.7,500,fire,fighting,137.9,80.4,147,1630577,18.5,1499,Ember,Blast Burn*,Heat Wave,6,5,3,10000
Grimer (Alolan) (Shadow),74.7,88,poison,dark,122.8,86.9,171,1824029,49,1497,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Kleavor,74.7,900,bug,rock,143.6,104.5,104,1560876,17.5,1500,Fury Cutter,X-Scissor,Rock Slide,10,12,5,75000
Magby,74.7,240,fire,none,139.5,95.8,120,1603478,50,1496,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Conkeldurr,74.6,534,fighting,none,134,93.9,133,1673445,16.5,1500,Counter,Dynamic Punch,Brutal Swing*,8,6,5,75000
Drifloon (Shadow),74.6,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Shadow Ball,Icy Wind,4,4,5,75000
Emboar,74.6,500,fire,fighting,137.9,80.4,147,1630577,18.5,1499,Ember,Blast Burn*,Heat Wave,6,5,3,10000
Muk (Alolan) (Shadow),74.6,89,poison,dark,115.9,111.7,148,1916176,20,1491,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Tauros (Combat),74.6,128,fighting,none,127.8,120.7,114,1758735,20,1500,Double Kick,Close Combat,Trailblaze,4,4,3,50000
Wormadam (Sandy),74.6,413,bug,ground,110,144.9,128,2040195,34.5,1499,Sucker Punch,Bug Buzz,Bulldoze,9,7,1,10000
Hatterene,74.5,858,psychic,fairy,142.2,115,96,1569863,19.5,1499,Psycho Cut,Psyshock,Power Whip,5,6,5,50000
Hydrapple,74.5,1019,grass,dragon,122.3,110.7,136,1841044,17,1500,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Monferno,74.5,391,fire,fighting,129.6,96,139,1730680,42,1499,Ember,Flame Wheel,Low Sweep,5,5,3,10000
